,details,link
"<li><a href = ""../pdf/Notifications/INTV_DV_SCH_ADT_2023_24012024.pdf"" target ='_' > INTERVIEW & DOCUMENT VERIFICATION SCHEDULE -ASSISTANT DIRECTOR (TECHNICAL) EXAM- 2023 </li>",INTERVIEW & DOCUMENT VERIFICATION SCHEDULE -ASSISTANT DIRECTOR (TECHNICAL) EXAM- 2023 ,../pdf/Notifications/INTV_DV_SCH_ADT_2023_24012024.pdf
"<li><a href = ""../pdf/Notifications/INTV_DV_CL_ADT_2023_24012024.pdf"" target ='_' > DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA </li>",DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA ,../pdf/Notifications/INTV_DV_CL_ADT_2023_24012024.pdf
"<li><a href = ""../pdf/Notifications/NOTI_SCRIBE_SSPE_2023_18012024.pdf"" target ='_' > NOTIFICATION FOR SCRIBE IN STATE SERVICE (PRELIMS) EXAM-2023 (18-01-2024)</li>",NOTIFICATION FOR SCRIBE IN STATE SERVICE (PRELIMS) EXAM-2023 (18-01-2024),../pdf/Notifications/NOTI_SCRIBE_SSPE_2023_18012024.pdf
"<li><a href = ""../pdf/Notifications/NOTI_AC_SSPE_2023_18012024.pdf"" target ='_' > NOTIFICATION ABOUT ADMIT CARD IN STATE SERVICE (PRELIMS) EXAM-2023 (18-01-2024)</li>",NOTIFICATION ABOUT ADMIT CARD IN STATE SERVICE (PRELIMS) EXAM-2023 (18-01-2024),../pdf/Notifications/NOTI_AC_SSPE_2023_18012024.pdf
"<li><a href = ""../pdf/Notifications/KHANDAN_28122023.pdf"" target ='_' > KHANDAN (RTI RELATED)- CIVIL JUDGE EXAM-2022 (28-12-2023)</li>",KHANDAN (RTI RELATED)- CIVIL JUDGE EXAM-2022 (28-12-2023),../pdf/Notifications/KHANDAN_28122023.pdf
"<li><a href = ""../pdf/Notifications/List_Debarred_Candidates_28122023.pdf"" target ='_' > LIST OF DEBARRED CANDIDATES BY UPSC AND VARIOUS STATE PSC (28-12-2023)</li>",LIST OF DEBARRED CANDIDATES BY UPSC AND VARIOUS STATE PSC (28-12-2023),../pdf/Notifications/List_Debarred_Candidates_28122023.pdf
"<li><a href = ""../pdf/Notifications/NOTI_DV_INTV_SCH_CJ_2022_22122023.pdf"" target ='_' > NOTIFICATION REGARDING DOCUMENT VERIFICATION AND INTERVIEW OF CIVIL JUDGE (ENTRY LEVEL) EXAM- 2022 (22-12-2023)</li>",NOTIFICATION REGARDING DOCUMENT VERIFICATION AND INTERVIEW OF CIVIL JUDGE (ENTRY LEVEL) EXAM- 2022 (22-12-2023),../pdf/Notifications/NOTI_DV_INTV_SCH_CJ_2022_22122023.pdf
"<li><a href = ""../pdf/Notifications/DV_INTV_SCH_CJ_2022_22122023.pdf"" target ='_' > INTERVIEW & DOCUMENT VERIFICATION SCHEDULE -CIVIL JUDGE (ENTRY LEVEL) EXAM- 2022</li>",INTERVIEW & DOCUMENT VERIFICATION SCHEDULE -CIVIL JUDGE (ENTRY LEVEL) EXAM- 2022,../pdf/Notifications/DV_INTV_SCH_CJ_2022_22122023.pdf
"<li><a href = ""../pdf/Notifications/DV_INTV_CL_CJ_2022_22122023.pdf"" target ='_' > DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA </li>",DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA ,../pdf/Notifications/DV_INTV_CL_CJ_2022_22122023.pdf
"<li><a href = ""../pdf/Notifications/Noti_Postponement_Intv_CJ_2022_01122023.pdf"" target ='_' > POSTPONEMENT OF INTERVIEW OF CIVIL JUDGE (ENTRY LEVEL) EXAM-2022 (01-12-2023)</li>",POSTPONEMENT OF INTERVIEW OF CIVIL JUDGE (ENTRY LEVEL) EXAM-2022 (01-12-2023),../pdf/Notifications/Noti_Postponement_Intv_CJ_2022_01122023.pdf
"<li><a href = ""../pdf/Notifications/NOTI_DV_INTV_SCH_CJ_2022_20112023.pdf"" target ='_' > NOTIFICATION REGARDING DOCUMENT VERIFICATION AND INTERVIEW OF CIVIL JUDGE (ENTRY LEVEL) EXAM- 2022 (20-11-2023)</li>",NOTIFICATION REGARDING DOCUMENT VERIFICATION AND INTERVIEW OF CIVIL JUDGE (ENTRY LEVEL) EXAM- 2022 (20-11-2023),../pdf/Notifications/NOTI_DV_INTV_SCH_CJ_2022_20112023.pdf
"<li><a href = ""../pdf/Notifications/DV_INTV_SCH_CJ_2022_20112023.pdf"" target ='_' > INTERVIEW & DOCUMENT VERIFICATION SCHEDULE -CIVIL JUDGE (ENTRY LEVEL) EXAM- 2022 </li>",INTERVIEW & DOCUMENT VERIFICATION SCHEDULE -CIVIL JUDGE (ENTRY LEVEL) EXAM- 2022 ,../pdf/Notifications/DV_INTV_SCH_CJ_2022_20112023.pdf
"<li><a href = ""../pdf/Notifications/DV_INTV_CL_CJ_2022_20112023.pdf"" target ='_' >  DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA </li>", DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA ,../pdf/Notifications/DV_INTV_CL_CJ_2022_20112023.pdf
"<li><a href = ""../pdf/Notifications/KHANDAN_11102023.pdf"" target ='_' > KHANDAN- ASSISTANT PROFESSOR EXAM-2019 (COMMERCE) (11-10-2023)</li>",KHANDAN- ASSISTANT PROFESSOR EXAM-2019 (COMMERCE) (11-10-2023),../pdf/Notifications/KHANDAN_11102023.pdf
"<li><a href = ""../pdf/Notifications/NOTI_SSME_2022_08102023.pdf"" target ='_' > NOTIFICATION REGARDING STATE SERVICE (MAINS) EXAM-2022 (08-10-2023)</li>",NOTIFICATION REGARDING STATE SERVICE (MAINS) EXAM-2022 (08-10-2023),../pdf/Notifications/NOTI_SSME_2022_08102023.pdf
"<li><a href = ""../pdf/Notifications/NOTI_SSME_2022_15092023.pdf"" target ='_' > NOTIFICATION REGARDING COPY OF ANSWER SHEET OF STATE SERVICE (MAINS) EXAM-2022 (15-09-2023)</li>",NOTIFICATION REGARDING COPY OF ANSWER SHEET OF STATE SERVICE (MAINS) EXAM-2022 (15-09-2023),../pdf/Notifications/NOTI_SSME_2022_15092023.pdf
"<li><a href = ""../pdf/Notifications/NOTI_AC_CJP_2023_29082023.pdf"" target ='_' > NOTIFICATION ABOUT ONLINE ADMIT CARD OF CIVIL JUDGE (ENTRY LEVEL) EXAM-2023 (29-08-2023)</li>",NOTIFICATION ABOUT ONLINE ADMIT CARD OF CIVIL JUDGE (ENTRY LEVEL) EXAM-2023 (29-08-2023),../pdf/Notifications/NOTI_AC_CJP_2023_29082023.pdf
"<li><a href = ""../pdf/Notifications/NOTI_DV_INTV_SSE_2022_16082023.pdf"" target ='_' > NOTIFICATION REGARDING DOCUMENT VERIFICATION AND INTERVIEW OF STATE SERVICE EXAM- 2022 (16-08-2023)</li>",NOTIFICATION REGARDING DOCUMENT VERIFICATION AND INTERVIEW OF STATE SERVICE EXAM- 2022 (16-08-2023),../pdf/Notifications/NOTI_DV_INTV_SSE_2022_16082023.pdf
"<li><a href = ""../pdf/Notifications/DV_INTV_SCH_SSE_2022_16082023.pdf"" target ='_' > INTERVIEW & DOCUMENT VERIFICATION SCHEDULE -STATE SERVICE EXAM- 2022 </li>",INTERVIEW & DOCUMENT VERIFICATION SCHEDULE -STATE SERVICE EXAM- 2022 ,../pdf/Notifications/DV_INTV_SCH_SSE_2022_16082023.pdf
"<li><a href = ""../pdf/Notifications/DV_INTV_CL_SSE_2022_16082023.pdf"" target ='_' >  DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA </li>", DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA ,../pdf/Notifications/DV_INTV_CL_SSE_2022_16082023.pdf
"<li><a href = ""../pdf/Notifications/AMEND_NOTI_ABOUT_AC_ADA_2023_18082023.pdf"" target ='_' > AMENDED NOTIFICATION ABOUT ONLINE ADMIT CARD OF ASSISTANT DIRECTOR, AGRICULTURE EXAM-2023 (18-08-2023)</li>","AMENDED NOTIFICATION ABOUT ONLINE ADMIT CARD OF ASSISTANT DIRECTOR, AGRICULTURE EXAM-2023 (18-08-2023)",../pdf/Notifications/AMEND_NOTI_ABOUT_AC_ADA_2023_18082023.pdf
"<li><a href = ""../pdf/Notifications/NOTI_ABOUT_AC_ADT_DAO_2023_16082023.pdf"" target ='_' > NOTIFICATION ABOUT ONLINE ADMIT CARD OF ASSISTANT DIRECTOR, TECHNICAL & DISTRICT AYURVEDA OFFICER EXAM-2023 (16-08-2023)</li>","NOTIFICATION ABOUT ONLINE ADMIT CARD OF ASSISTANT DIRECTOR, TECHNICAL & DISTRICT AYURVEDA OFFICER EXAM-2023 (16-08-2023)",../pdf/Notifications/NOTI_ABOUT_AC_ADT_DAO_2023_16082023.pdf
"<li><a href = ""../pdf/Notifications/NOTI_CJP_2023_SCRIBE_16082023.pdf"" target ='_' > NOTIFICATION FOR SCRIBE IN CIVIL JUDGE (ENTRY LEVEL) EXAM-2023 (16-08-2023)</li>",NOTIFICATION FOR SCRIBE IN CIVIL JUDGE (ENTRY LEVEL) EXAM-2023 (16-08-2023),../pdf/Notifications/NOTI_CJP_2023_SCRIBE_16082023.pdf
"<li><a href = ""../pdf/Notifications/INT_SCH_SANSKRITI_2023_03082023.pdf"" target ='_' > NOTIFICATION FOR INTERVIEW OF VARIOUS POSTS IN SANSKRITI VIBHAG-2023 (03-08-2023)</li>",NOTIFICATION FOR INTERVIEW OF VARIOUS POSTS IN SANSKRITI VIBHAG-2023 (03-08-2023),../pdf/Notifications/INT_SCH_SANSKRITI_2023_03082023.pdf
"<li><a href = ""../pdf/Notifications/INT_SCH_LECTURER_2023_02082023.pdf"" target ='_' > NOTIFICATION FOR INTERVIEW OF LECTURER (DEPT. OF MEDICAL EDUCATION (AYUSH))-2023 (02-08-2023)</li>",NOTIFICATION FOR INTERVIEW OF LECTURER (DEPT. OF MEDICAL EDUCATION (AYUSH))-2023 (02-08-2023),../pdf/Notifications/INT_SCH_LECTURER_2023_02082023.pdf
"<li><a href = ""../pdf/Notifications/AMENDED_EXAM_SCH_CJ_2023_21072023.pdf"" target ='_' > AMENDED EXAM SCHEDULE - CIVIL JUDGE EXAM-2023 (21-07-2023) </li>",AMENDED EXAM SCHEDULE - CIVIL JUDGE EXAM-2023 (21-07-2023) ,../pdf/Notifications/AMENDED_EXAM_SCH_CJ_2023_21072023.pdf
"<li><a href = ""../pdf/Notifications/EXAM_SCH_CJ_2023_12072023.pdf"" target ='_' > EXAM SCHEDULE - CIVIL JUDGE EXAM-2023 (12-07-2023) </li>",EXAM SCHEDULE - CIVIL JUDGE EXAM-2023 (12-07-2023) ,../pdf/Notifications/EXAM_SCH_CJ_2023_12072023.pdf
"<li><a href = ""../pdf/Notifications/EXAM_SCH_DAO_ADT_2023_12072023.pdf"" target ='_' > EXAM SCHEDULE - DISTRICT AYURVEDA OFFICER EXAM-2023 AND ASSISTANT DIRECTOR (TECHNICAL) EXAM-2023(12-07-2023) </li>",EXAM SCHEDULE - DISTRICT AYURVEDA OFFICER EXAM-2023 AND ASSISTANT DIRECTOR (TECHNICAL) EXAM-2023(12-07-2023) ,../pdf/Notifications/EXAM_SCH_DAO_ADT_2023_12072023.pdf
"<li><a href = ""../pdf/Notifications/EXAM_SCH_ADA_2023_12072023.pdf"" target ='_' > EXAM SCHEDULE - ASSISTANT DIRECTOR AGRICULTURE EXAM-2023 (12-07-2023) </li>",EXAM SCHEDULE - ASSISTANT DIRECTOR AGRICULTURE EXAM-2023 (12-07-2023) ,../pdf/Notifications/EXAM_SCH_ADA_2023_12072023.pdf
"<li><a href = ""../pdf/Notifications/AMEND_NOTI_CMO_2023_AS_MS_07072023.pdf"" target ='_' > AMENDED NOTIFICATION REGARDING COPY OF ANSWER SHEET & MARKSHEET OF CASUALTY MEDICAL OFFICER EXAM-2022 (07-07-2023)</li>",AMENDED NOTIFICATION REGARDING COPY OF ANSWER SHEET & MARKSHEET OF CASUALTY MEDICAL OFFICER EXAM-2022 (07-07-2023),../pdf/Notifications/AMEND_NOTI_CMO_2023_AS_MS_07072023.pdf
"<li><a href = ""../pdf/Notifications/NOTI_SO_2022_AS_MS_06072023.pdf"" target ='_' > NOTIFICATION REGARDING COPY OF ANSWER SHEET & MARKSHEET OF SCIENTIFIC OFFICER (PHYSICS, CHEMISTRY, BIOLOGY) EXAM-2022 (06-07-2023)</li>","NOTIFICATION REGARDING COPY OF ANSWER SHEET & MARKSHEET OF SCIENTIFIC OFFICER (PHYSICS, CHEMISTRY, BIOLOGY) EXAM-2022 (06-07-2023)",../pdf/Notifications/NOTI_SO_2022_AS_MS_06072023.pdf
"<li><a href = ""../pdf/Notifications/NOTI_AMO_2022_AS_MS_06072023.pdf"" target ='_' > NOTIFICATION REGARDING COPY OF ANSWER SHEET & MARKSHEET OF AYURVEDA MEDICAL OFFICER EXAM-2022 (06-07-2023)</li>",NOTIFICATION REGARDING COPY OF ANSWER SHEET & MARKSHEET OF AYURVEDA MEDICAL OFFICER EXAM-2022 (06-07-2023),../pdf/Notifications/NOTI_AMO_2022_AS_MS_06072023.pdf
"<li><a href = ""../pdf/Notifications/NOTI_PHY_2022_AS_MS_06072023.pdf"" target ='_' > NOTIFICATION REGARDING COPY OF ANSWER SHEET & MARKSHEET OF PHYSIOTHERAPIST EXAM-2022 (06-07-2023)</li>",NOTIFICATION REGARDING COPY OF ANSWER SHEET & MARKSHEET OF PHYSIOTHERAPIST EXAM-2022 (06-07-2023),../pdf/Notifications/NOTI_PHY_2022_AS_MS_06072023.pdf
"<li><a href = ""../pdf/Notifications/NOTI_SES_2021_COURT_CASE_06072023.pdf"" target ='_' > IMPORTANT NOTIFICATION - STATE ENGINEERING SERVICES EXAM-2021 (06-07-2023) </li>",IMPORTANT NOTIFICATION - STATE ENGINEERING SERVICES EXAM-2021 (06-07-2023) ,../pdf/Notifications/NOTI_SES_2021_COURT_CASE_06072023.pdf
"<li><a href = ""../pdf/Notifications/EDIT_OA_04072023.pdf"" target ='_' > IMPORTANT NOTICE- EDIT IN ONLINE APPLICATION (04-07-2023) </li>",IMPORTANT NOTICE- EDIT IN ONLINE APPLICATION (04-07-2023) ,../pdf/Notifications/EDIT_OA_04072023.pdf
"<li><a href = ""../pdf/Notifications/SHORT_TENDER_NOTICE_27062023.pdf"" target ='_' > SHORT TENDER NOTICE FOR SALE-2023 (27-06-2023) </li>",SHORT TENDER NOTICE FOR SALE-2023 (27-06-2023) ,../pdf/Notifications/SHORT_TENDER_NOTICE_27062023.pdf
"<li><a href = ""../pdf/Notifications/Noti_DV_SANSKRITI_2023_22062023.pdf"" target ='_' > NOTIFICATION FOR DOCUMENT VERIFICATION OF VARIOUS POSTS IN SANSKRITI VIBHAG-2023 (22-06-2023)</li>",NOTIFICATION FOR DOCUMENT VERIFICATION OF VARIOUS POSTS IN SANSKRITI VIBHAG-2023 (22-06-2023),../pdf/Notifications/Noti_DV_SANSKRITI_2023_22062023.pdf
"<li><a href = ""../pdf/Notifications/DV_SCH_SANSKRITI_2023_22062023.pdf"" target ='_' > DOCUMENT VERIFICATION SCHEDULE -VARIOUS POSTS IN SANSKRITI VIBHAG-2023</li>",DOCUMENT VERIFICATION SCHEDULE -VARIOUS POSTS IN SANSKRITI VIBHAG-2023,../pdf/Notifications/DV_SCH_SANSKRITI_2023_22062023.pdf
"<li><a href = ""../pdf/Notifications/DV_CL_SANSKRITI_2023_22062023.pdf"" target ='_' > DOWNLOAD DOCUMENT VERIFICATION CALL LETTER AND REQUIRED PROFORMA </li>",DOWNLOAD DOCUMENT VERIFICATION CALL LETTER AND REQUIRED PROFORMA ,../pdf/Notifications/DV_CL_SANSKRITI_2023_22062023.pdf
"<li><a href = ""../pdf/Notifications/Noti_DV_LECTURER_AYUSH_2023_22062023.pdf"" target ='_' > NOTIFICATION FOR DOCUMENT VERIFICATION OF LECTURER (DEPT. OF MEDICAL EDUCATION (AYUSH))-2023 (22-06-2023)</li>",NOTIFICATION FOR DOCUMENT VERIFICATION OF LECTURER (DEPT. OF MEDICAL EDUCATION (AYUSH))-2023 (22-06-2023),../pdf/Notifications/Noti_DV_LECTURER_AYUSH_2023_22062023.pdf
"<li><a href = ""../pdf/Notifications/DV_SCH_LECTURER_AYUSH_2023_22062023.pdf"" target ='_' > DOCUMENT VERIFICATION SCHEDULE -LECTURER (DEPT. OF MEDICAL EDUCATION (AYUSH))-2023</li>",DOCUMENT VERIFICATION SCHEDULE -LECTURER (DEPT. OF MEDICAL EDUCATION (AYUSH))-2023,../pdf/Notifications/DV_SCH_LECTURER_AYUSH_2023_22062023.pdf
"<li><a href = ""../pdf/Notifications/DV_CL_LECTURER_AYUSH_2023_22062023.pdf"" target ='_' >  DOWNLOAD DOCUMENT VERIFICATION CALL LETTER AND REQUIRED PROFORMA </li>", DOWNLOAD DOCUMENT VERIFICATION CALL LETTER AND REQUIRED PROFORMA ,../pdf/Notifications/DV_CL_LECTURER_AYUSH_2023_22062023.pdf
"<li><a href = ""../pdf/Notifications/Caveat_Suchana_CJP_2023_21062023.pdf"" target ='_' > CAVEAT SUCHANA FOR CIVIL JUDGE (ENTRY LEVEL) EXAM-2023 (21-06-2023) </li>",CAVEAT SUCHANA FOR CIVIL JUDGE (ENTRY LEVEL) EXAM-2023 (21-06-2023) ,../pdf/Notifications/Caveat_Suchana_CJP_2023_21062023.pdf
"<li><a href = ""../pdf/Notifications/NOTI_ABOUT_AC_CJME_2022_19062023.pdf"" target ='_' > NOTIFICATION ABOUT ONLINE ADMIT CARD CIVIL JUDGE (MAINS) EXAM-2022 (19-06-2023)</li>",NOTIFICATION ABOUT ONLINE ADMIT CARD CIVIL JUDGE (MAINS) EXAM-2022 (19-06-2023),../pdf/Notifications/NOTI_ABOUT_AC_CJME_2022_19062023.pdf
"<li><a href = ""../pdf/Notifications/NOTI_ANSWER_SHEET_MARK_SHEET_CGFSE_2020_15062023.pdf"" target ='_' > NOTIFICATION REGARDING COPY OF ANSWER SHEET & MARKSHEET OF CG FOREST SERVICE (COMBINED) EXAM-2020 (15-06-2023)</li>",NOTIFICATION REGARDING COPY OF ANSWER SHEET & MARKSHEET OF CG FOREST SERVICE (COMBINED) EXAM-2020 (15-06-2023),../pdf/Notifications/NOTI_ANSWER_SHEET_MARK_SHEET_CGFSE_2020_15062023.pdf
"<li><a href = ""../pdf/Notifications/NOTI_SCRIBE_CJME_2022_06062023.pdf"" target ='_' > NOTIFICATION FOR SCRIBE IN CIVIL JUDGE (MAINS) EXAM-2022 (06-06-2023)</li>",NOTIFICATION FOR SCRIBE IN CIVIL JUDGE (MAINS) EXAM-2022 (06-06-2023),../pdf/Notifications/NOTI_SCRIBE_CJME_2022_06062023.pdf
"<li><a href = ""../pdf/Notifications/NOTI_ABOUT_AC_SSME_2022_06062023.pdf"" target ='_' > NOTIFICATION ABOUT ONLINE ADMIT CARD STATE SERVICE (MAINS) EXAM-2022 (06-06-2023)</li>",NOTIFICATION ABOUT ONLINE ADMIT CARD STATE SERVICE (MAINS) EXAM-2022 (06-06-2023),../pdf/Notifications/NOTI_ABOUT_AC_SSME_2022_06062023.pdf
"<li><a href = ""../pdf/Notifications/SHORT_TENDER_NOTICE_2023_05062023.pdf"" target ='_' > SHORT TENDER NOTICE FOR SALE-2023 (05-06-2023)</li>",SHORT TENDER NOTICE FOR SALE-2023 (05-06-2023),../pdf/Notifications/SHORT_TENDER_NOTICE_2023_05062023.pdf
"<li><a href = ""../pdf/Notifications/IMP_NOTI_TENDER_NOTICE_13062023.pdf"" target ='_' > IMPORTANT NOTICE (13-06-2023)</li>",IMPORTANT NOTICE (13-06-2023),../pdf/Notifications/IMP_NOTI_TENDER_NOTICE_13062023.pdf
"<li><a href = ""../pdf/Notifications/NOTI_SSME_2023_SCRIBE_01062023.pdf"" target ='_' > NOTIFICATION FOR SCRIBE IN STATE SERVICE (MAINS) EXAM-2022 (01-06-2023)</li>",NOTIFICATION FOR SCRIBE IN STATE SERVICE (MAINS) EXAM-2022 (01-06-2023),../pdf/Notifications/NOTI_SSME_2023_SCRIBE_01062023.pdf
"<li><a href = ""../pdf/Notifications/Caveate_Suchana_advtno07_2023_29052023.pdf"" target ='_' > CAVEAT SUCHANA FOR VARIOUS POSTS IN SANSKRITI VIBHAG-2023 (29-05-2023) </li>",CAVEAT SUCHANA FOR VARIOUS POSTS IN SANSKRITI VIBHAG-2023 (29-05-2023) ,../pdf/Notifications/Caveate_Suchana_advtno07_2023_29052023.pdf
"<li><a href = ""../pdf/Notifications/NOTI_SSME_2022_OA_EXTEND_29052023.pdf"" target ='_' > NOTIFICATION FOR RE-OPEN OF ONLINE APPLICATION OF STATE SERVICE (MAINS) EXAM-2022 (29-05-2023)</li>",NOTIFICATION FOR RE-OPEN OF ONLINE APPLICATION OF STATE SERVICE (MAINS) EXAM-2022 (29-05-2023),../pdf/Notifications/NOTI_SSME_2022_OA_EXTEND_29052023.pdf
"<li><a href = ""../pdf/Notifications/NOTI_SSME_2022_OA_EXTEND_26052023.pdf"" target ='_' > NOTIFICATION FOR RE-OPEN OF ONLINE APPLICATION OF STATE SERVICE (MAINS) EXAM-2022 (26-05-2023)</li>",NOTIFICATION FOR RE-OPEN OF ONLINE APPLICATION OF STATE SERVICE (MAINS) EXAM-2022 (26-05-2023),../pdf/Notifications/NOTI_SSME_2022_OA_EXTEND_26052023.pdf
"<li><a href = ""../pdf/Notifications/NOTI_CJM_2022_OA_EXTEND_26052023.pdf"" target ='_' > NOTIFICATION FOR RE-OPEN OF ONLINE APPLICATION OF CIVIL JUDGE (MAINS) EXAM-2022 (26-05-2023)</li>",NOTIFICATION FOR RE-OPEN OF ONLINE APPLICATION OF CIVIL JUDGE (MAINS) EXAM-2022 (26-05-2023),../pdf/Notifications/NOTI_CJM_2022_OA_EXTEND_26052023.pdf
"<li><a href = ""../pdf/Notifications/NOTI_SSPE_2021_20052023.pdf"" target ='_' > NOTIFICATION REGARDING COPY OF ANSWER SHEET OF STATE SERVICE (PRELIMS) EXAM-2021 (20-05-2023)</li>",NOTIFICATION REGARDING COPY OF ANSWER SHEET OF STATE SERVICE (PRELIMS) EXAM-2021 (20-05-2023),../pdf/Notifications/NOTI_SSPE_2021_20052023.pdf
"<li><a href = ""../pdf/Notifications/NOTI_AMENDED_EXAM_SCH_CJM_2022_19052023.pdf"" target ='_' > AMENDED EXAM SCHEDULE - CIVIL JUDGE (MAINS) EXAMINATION -2022 (19-05-2023) </li>",AMENDED EXAM SCHEDULE - CIVIL JUDGE (MAINS) EXAMINATION -2022 (19-05-2023) ,../pdf/Notifications/NOTI_AMENDED_EXAM_SCH_CJM_2022_19052023.pdf
"<li><a href = ""../pdf/Notifications/Caveate_Suchana_ADVTN_28_29_2022_AND_02_03_04_05_06_2023.pdf"" target ='_' > CAVEAT SUCHANA FOR VARIOUS ADVT NO. (28/2022,29/2022,02/2023,03/2023,04/2023,05/2023,06/2023) (19-05-2023) </li>","CAVEAT SUCHANA FOR VARIOUS ADVT NO. (28/2022,29/2022,02/2023,03/2023,04/2023,05/2023,06/2023) (19-05-2023) ",../pdf/Notifications/Caveate_Suchana_ADVTN_28_29_2022_AND_02_03_04_05_06_2023.pdf
"<li><a href = ""../pdf/Notifications/Caveate_Suchana_CGFSE_2020_19052023.pdf"" target ='_' > CAVEAT SUCHANA FOR CG FOREST SERVICE (COMBINED) EXAM-2020 (19-05-2023) </li>",CAVEAT SUCHANA FOR CG FOREST SERVICE (COMBINED) EXAM-2020 (19-05-2023) ,../pdf/Notifications/Caveate_Suchana_CGFSE_2020_19052023.pdf
"<li><a href = ""../pdf/Notifications/Short_Tender_Noti_Stationary_19052023.pdf"" target ='_' > SHORT TENDER NOTICE FOR PURCHASE OF STATIONERY MATERIAL-2023 (19-05-2023) </li>",SHORT TENDER NOTICE FOR PURCHASE OF STATIONERY MATERIAL-2023 (19-05-2023) ,../pdf/Notifications/Short_Tender_Noti_Stationary_19052023.pdf
"<li><a href = ""../pdf/Notifications/NOTI_ABOUT_AC_PEON_2022_PHASE_2_17052023.pdf"" target ='_' > NOTIFICATION ABOUT ONLINE ADMIT CARD FOR PEON (GENERAL ADMINISTRATION DEPT. AND CGPSC) EXAM-2022 (17-05-2023)</li>",NOTIFICATION ABOUT ONLINE ADMIT CARD FOR PEON (GENERAL ADMINISTRATION DEPT. AND CGPSC) EXAM-2022 (17-05-2023),../pdf/Notifications/NOTI_ABOUT_AC_PEON_2022_PHASE_2_17052023.pdf
"<li><a href = ""../pdf/Notifications/NOTI_SSE_2021_16052023.pdf"" target ='_' > NOTIFICATION REGARDING COPY OF ANSWER SHEET OF STATE SERVICE (MAINS) EXAM-2021 (16-05-2023)</li>",NOTIFICATION REGARDING COPY OF ANSWER SHEET OF STATE SERVICE (MAINS) EXAM-2021 (16-05-2023),../pdf/Notifications/NOTI_SSE_2021_16052023.pdf
"<li><a href = ""../pdf/Notifications/IMP_NOTI_CGFSE2020_16052023.pdf"" target ='_' > IMPORTANT NOTIFICATION FOR CG FOREST SERVICE (COMBINED) EXAM-2020 (INTERVIEW DATE FROM 18-05-2023 TO 03-06-2023) (16-05-2023)</li>",IMPORTANT NOTIFICATION FOR CG FOREST SERVICE (COMBINED) EXAM-2020 (INTERVIEW DATE FROM 18-05-2023 TO 03-06-2023) (16-05-2023),../pdf/Notifications/IMP_NOTI_CGFSE2020_16052023.pdf
"<li><a href = ""../pdf/Notifications/Noti_SSME_2022_12052023.pdf"" target ='_' > NOTIFICATION FOR STATE SERVICE (MAINS) EXAM-2022 (12-05-2023)</li>",NOTIFICATION FOR STATE SERVICE (MAINS) EXAM-2022 (12-05-2023),../pdf/Notifications/Noti_SSME_2022_12052023.pdf
"<li><a href = ""../pdf/Notifications/Noti_CJME_2022_12052023.pdf"" target ='_' > NOTIFICATION FOR CIVIL JUDGE (MAINS) EXAM-2022 (12-05-2023)</li>",NOTIFICATION FOR CIVIL JUDGE (MAINS) EXAM-2022 (12-05-2023),../pdf/Notifications/Noti_CJME_2022_12052023.pdf
"<li><a href = ""../pdf/Notifications/Noti_INT_SCH_CMO_2022_11052023.pdf"" target ='_' > NOTIFICATION REGARDING INTERVIEW OF CASUALTY MEDICAL OFFICER EXAM- 2022 (11-05-2023)</li>",NOTIFICATION REGARDING INTERVIEW OF CASUALTY MEDICAL OFFICER EXAM- 2022 (11-05-2023),../pdf/Notifications/Noti_INT_SCH_CMO_2022_11052023.pdf
"<li><a href = ""../pdf/Notifications/INT_SCH_CMO_2022_11052023.pdf"" target ='_' > INTERVIEW SCHEDULE -CASUALTY MEDICAL OFFICER EXAM- 2022 </li>",INTERVIEW SCHEDULE -CASUALTY MEDICAL OFFICER EXAM- 2022 ,../pdf/Notifications/INT_SCH_CMO_2022_11052023.pdf
"<li><a href = ""../pdf/Notifications/Noti_INT_SCH_SO_2022_11052023.pdf"" target ='_' > NOTIFICATION REGARDING DOCUMENT VERIFICATION AND INTERVIEW OF SCIENTIFIC OFFICER (BIOLOGY, CHEMISTRY, PHYSICS) EXAM- 2022 (11-05-2023)</li>","NOTIFICATION REGARDING DOCUMENT VERIFICATION AND INTERVIEW OF SCIENTIFIC OFFICER (BIOLOGY, CHEMISTRY, PHYSICS) EXAM- 2022 (11-05-2023)",../pdf/Notifications/Noti_INT_SCH_SO_2022_11052023.pdf
